l,m,Clm,Slm,sigmaClm,sigmaSlm
21,5,2.60621810044519e-09,1.0971648809628002e-09,6.784900095e-13,6.804381437e-13
21,6,-1.35494262411299e-08,1.3712121732731e-11,8.76138375e-13,8.706926957e-13
21,7,-6.61044220014108e-09,2.5212103741106e-09,1.064379518e-12,1.065221833e-12
21,8,-1.72312779180303e-08,2.14879443753672e-09,1.314278298e-12,1.312076543e-12
21,9,1.58563800022178e-08,9.078424862861341e-09,1.535602658e-12,1.533610877e-12
21,10,-1.13997405607735e-08,-1.1404647223780201e-09,1.801565618e-12,1.801712592e-12
21,11,6.89424285619426e-09,-3.55785033947298e-08,2.03295468e-12,2.033230423e-12
21,12,-3.32626248475741e-09,1.47748999984542e-08,2.35524071e-12,2.353873371e-12
21,13,-1.93635228526149e-08,1.3938003264279e-08,2.562418822e-12,2.559986714e-12
21,14,2.02649547927933e-08,7.353844503720341e-09,3.080982024e-12,3.083126485e-12
21,15,1.75731363406368e-08,1.0368970851712e-08,3.428277561e-12,3.425824122e-12
21,16,7.492709773459961e-09,-6.6534860590299605e-09,3.871621542e-12,3.875015791e-12
21,17,-7.4668576180497e-09,-7.3774886390834e-09,4.527948272e-12,4.521562797e-12
21,18,2.64707224617052e-08,-1.10721542080636e-08,4.396775387e-12,4.402325952e-12
21,19,-2.7202723563512e-08,1.65551841156344e-08,6.292951978e-12,6.29192854e-12
21,20,-2.69495467757536e-08,1.59189204425363e-08,7.667837029e-12,7.676658009e-12
21,21,8.459101708066021e-09,-3.6532165698478705e-09,6.270100888e-12,6.274274852e-12
22,0,-1.07772567310914e-08,0.0,4.48688291e-13,0.0
22,1,1.56810174592028e-08,-3.84060273586347e-09,4.29932661e-13,4.720695355e-13
22,2,-2.64892851416925e-08,-1.1646593031488201e-09,4.768701913e-13,4.44216943e-13
22,3,1.13438875568191e-08,1.0121431571444e-08,4.858455266e-13,4.836320157e-13
22,4,-3.6150036503119703e-09,1.87274809330152e-08,5.697952092e-13,5.608126287e-13
22,5,9.680677852916599e-11,-3.18496276236828e-10,6.539021639e-13,6.559048233e-13
22,6,1.01648080995911e-08,-5.507632479154521e-09,8.334709531e-13,8.280905865e-13
22,7,1.74645378087162e-08,4.7474733305453305e-09,1.019117297e-12,1.020110215e-12
22,8,-2.34988234728281e-08,3.81455946013761e-09,1.250058628e-12,1.24773082e-12
22,9,6.682871595424801e-09,8.376659199331011e-09,1.479429874e-12,1.47744161e-12
22,10,5.6273615352483405e-09,2.23513690166568e-08,1.717659747e-12,1.718423891e-12
22,11,-4.8153059356448e-09,-1.75636129350211e-08,1.983894659e-12,1.983948481e-12
22,12,2.4184460878285e-09,-8.20832230591832e-09,2.19575772e-12,2.194115111e-12
22,13,-1.71591275582331e-08,1.95127463989993e-08,2.55413101e-12,2.552951713e-12
22,14,1.08704662432765e-08,8.32671558042586e-09,2.752437224e-12,2.754168698e-12
22,15,2.57664603930916e-08,4.711426820223191e-09,3.380674395e-12,3.378113399e-12
22,16,1.12824875831035e-10,-7.2889931327356804e-09,3.516735716e-12,3.518495551e-12
22,17,8.56694818662282e-09,-1.46000461088908e-08,4.11564111e-12,4.107967889e-12
22,18,1.01968023898073e-08,-1.62050193177967e-08,4.785289732e-12,4.783680668e-12
22,19,1.40571747858935e-08,-3.3623645068804202e-09,4.624319613e-12,4.623564293e-12
22,20,-1.67728511120447e-08,1.95826677648397e-08,6.587806771e-12,6.597672684e-12
22,21,-2.53159625587767e-08,2.39692995280167e-08,8.078125789e-12,8.079040465e-12
22,22,-1.00792291077701e-08,2.33500809593777e-09,6.567643411e-12,6.572287958e-12
23,0,-2.2259236935367e-08,0.0,4.458212204e-13,0.0
23,1,9.17464890610878e-09,1.61952286471013e-08,4.267605356e-13,4.688565247e-13
23,2,-1.43936331663087e-08,-4.58573617697428e-09,4.728682139e-13,4.402667934e-13
